symbol	lab	z	pvalue
THBS3	S+	2.34964976683155	0.00447043961703187
TIAM1	O+	2.07012706610657	0.00850889048216767
TIMP2	S+	6.39346590655579	4.04142099658257e-07
TKT	S+	5.97387640907032	1.0619977360631e-06
TLE3	S+	6.41640156362022	3.83352620545816e-07
TLN1	S+	3.85217892735013	0.000140546835826374
TMPO	O+	2.9653375148714	0.00108308486019142
CLDN5	S+	2.74564580541064	0.00179619794253898
TNFAIP2	S+	3.48598316484402	0.000326600492392287
TNFRSF1A	S+	5.17608966728412	6.66669110130786e-06
TNFRSF1B	S+	5.26269176047094	5.46145348995389e-06
TNNI2	S+	3.94373242516657	0.00011383284096832
TOP2B	O+	3.89825740458148	0.000126398696545722
TOP3A	S+	3.49840238462752	0.000317393198106399
TPD52L2	S+	4.33063109667689	4.67055943797756e-05
TPI1	S+	1.97907610690893	0.0104935852018743
TPP2	O+	2.42831731879874	0.00372977540854618
TPSAB1	S+	1.99034245282184	0.0102248641641545
HSP90B1	O+	2.52957032700234	0.0029541304758544
TRPC2	S+	2.11328136675659	0.00770404184893884
TRPM2	S+	2.9995832963773	0.00100095995601295
TSC2	S+	2.2868156577939	0.00516635615759202
TST	S+	4.03558128979624	9.21337419721415e-05
TTC3	O+	3.57970536379731	0.000263205303670985
TUBA4A	S+	4.50806591187849	3.10408845198517e-05
TUFM	S+	1.99290388692618	0.0101647362226455
TXK	O+	2.84065434640908	0.00144326358340315
TYK2	S+	4.58290438513459	2.61273651471705e-05
TYROBP	S+	4.96648662445272	1.08022288943683e-05
UBE2G2	O+	2.08593816935045	0.00820468346365865
UBE2L3	S+	2.25512477152378	0.00555744570556679
UBE2N	O+	2.79297563343457	0.00161073600474287
SUMO1	O+	2.22399798093766	0.00597038062244859
UBP1	O+	3.24193800519315	0.000572877802492104
UGP2	O+	2.69893842283746	0.00200014544346379
USP4	S+	2.15507981234968	0.00699713394547994
NR1H2	S+	2.79095569736482	0.00161824510735736
UPK3A	S+	3.29604717056979	0.000505769725219913
UQCRB	O+	3.21719918221782	0.000606458123477633
UQCRH	O+	2.32769291877476	0.00470226479130232
USF1	S+	3.90763087361587	0.000123699836722866
USF2	S+	2.91648390640341	0.00121203760226939
VASP	S+	7.87577940978838	1.33113036432582e-08
VAV1	S+	2.95830182289325	0.00110077403553197
VCP	S+	2.09203297477467	0.00809034469104457
VDR	S+	2.00745872178444	0.00982972296738607
BEST1	S+	3.5775834925959	0.000264494415848466
VWF	S+	3.65642095303717	0.000220586559465535
WIPF1	S+	2.75605148072112	0.00175367261137693
CLIP2	S+	2.90985340452439	0.0012306841163562
LAT2	S+	3.77570651209676	0.000167607515292447
XBP1	N+	1.99055376413774	0.0102198903410086
XPO1	O+	2.19721141292003	0.00635021730409311
XRCC1	S+	2.69921407467083	0.0019988763303475
