symbol	lab	pvalue
PTPN18	S+	0.000142058352353478
SIGLEC7	S+	0.000309797203274847
CYTH4	S+	6.6640398148588e-07
CIDEB	S+	2.54835172160196e-05
SLC39A1	S+	0.000509355044786506
SIGLEC9	S+	9.75979776452961e-06
C5AR2	S+	0.000556146097748146
CHMP2A	S+	5.86528964857767e-06
SMPDL3B	S+	6.36695383079663e-05
SLCO3A1	S+	0.000185404123211113
NKIRAS2	S+	0.000123892259513728
DBNL	S+	7.81284157979275e-06
SLC43A3	S+	0.00967988233389057
SAP30BP	S+	0.000239084818964766
PARVB	S+	1.25240621558698e-05
CYP2S1	S+	0.0041346291610442
UBN1	S+	3.7693663972235e-05
STRN4	S+	5.32242334271605e-06
SNX11	S+	0.00148947355886645
OSGIN1	S+	0.000619703823985549
PILRA	S+	7.14349287149862e-06
F11R	S+	0.00610772912082264
ZBTB7B	S+	5.62854263781271e-05
JPT1	S+	2.99544604901628e-07
RAPGEFL1	S+	0.00423487784131945
VRK3	S+	0.00170234817994956
SHISA5	S+	3.52456654163422e-05
UBAP1	S+	0.000169727888234223
C1RL	S+	0.00113886893630776
GMIP	S+	3.50497281372588e-06
SLC15A3	S+	4.73209582526254e-05
FAM53C	S+	0.000771338621536288
PHF21A	S+	0.000448141652504229
SPG21	S+	0.000442830578850994
CHST15	S+	0.00709919438403915
MSRB1	S+	2.17228757919694e-06
TUBA8	S+	2.1836933157001e-06
FXYD6	S+	0.000254085765189386
RAB24	S+	0.000585141990328442
YIPF1	S+	0.00441968965903784
PRR13	S+	2.35744411153235e-05
CHPF2	S+	1.21505713948046e-05
ADAMTSL4	S+	8.88866440751676e-06
APBB1IP	S+	2.27146667425102e-05
NECAB2	S+	0.000680867879585407
GTPBP2	S+	0.00354526487451837
DNAJB12	S+	0.000144430360371174
DEF8	S+	0.000250163626837211
SLC35F6	S+	0.00108170639311323
CLN6	S+	0.000398002958018964
LAMTOR1	S+	1.00978865641239e-06
WIPI1	S+	0.0013896147840901
RNF31	S+	0.000223555392811397
SAMD4B	S+	2.47006119942734e-05
RBM23	S+	0.00151800981031001
TRAPPC14	S+	1.36283781921772e-05
TMEM140	S+	0.00174319278071166
TBC1D2	S+	0.000931590925952199
TMCO6	S+	0.0025709680538786
TMEM127	S+	9.56737383506584e-07
PACS1	S+	2.24420548996257e-05
MAP7D1	S+	0.000149413587519927
ARHGEF40	S+	7.81884424366675e-06
EDEM2	S+	0.000220931629237007
MINDY1	S+	4.32261108716549e-06
ADAP2	S+	0.00528555595312149
ACSS2	S+	9.10870513631335e-05
BIN3	S+	0.000249585312605046
APOBR	S+	4.59726658657898e-06
INKA2	S+	0.00294709525808926
ZMAT5	S+	0.0031088790111753
LIN37	S+	0.000768164570324167
NSFL1C	S+	1.61780236186036e-05
TMEM234	S+	0.00592173191937311
C15orf39	S+	5.3956809872005e-07
GPR108	S+	0.000111535797500699
SLC12A9	S+	2.40597781761875e-05
AGTRAP	S+	3.90504046156095e-05
RGL3	S+	0.00982088018553927
SLC44A2	S+	6.19347710409691e-06
ZNFX1	S+	3.21191050798437e-06
SELENON	S+	0.00191481804697072
TTC7A	S+	0.00580053933241481
ERGIC1	S+	0.000217518009769098
RCN3	S+	3.62086009236278e-05
SCYL1	S+	3.18292037179438e-06
RHBDD2	S+	0.00016843757053351
ELAPOR1	S+	0.000942346345222379
PREX1	S+	0.000537222924147852
MRTFA	S+	9.54133809886548e-05
ZNF687	S+	2.06829320143723e-06
VPS18	S+	0.000108295444435123
PHF12	S+	0.000512337895082505
CALCOCO1	S+	0.000106874123029418
NCKAP5L	S+	0.00327894578111975
CTDSP1	S+	1.47797483181165e-05
EPS15L1	S+	4.18752388855043e-06
PPCDC	S+	0.00136151148673389
ZFAND3	S+	7.33216025126787e-06
ABHD4	S+	6.12035903313477e-06
GPSM3	S+	2.69070573563385e-05
PARVG	S+	7.31299209987399e-06
LRRC4	S+	0.00405447567510939
TMBIM1	S+	0.00326245355866819
VSIR	S+	4.59087551227903e-07
DPEP2	S+	5.01690459981808e-05
DPEP3	S+	0.000133960309560547
SEMA4A	S+	1.02287370450938e-05
FBRS	S+	1.50840279201889e-05
ARHGAP9	S+	0.000372727101078571
HS1BP3	S+	6.32965457228907e-05
MMP25	S+	0.000350339340249265
ARAP3	S+	0.000162946734611485
MTMR14	S+	0.000214586703990157
CSRNP1	S+	9.97532457130075e-06
GORASP1	S+	0.00156100591908731
SMAP2	S+	0.000251983616340957
PLPPR2	S+	4.98361183546956e-05
MICAL1	S+	0.00134444133294721
ISL2	S+	0.000913864069978346
INTS3	S+	0.00300300055759629
NADK	S+	1.13506889046139e-05
PRR14	S+	1.14687912865521e-06
TSEN34	S+	3.09123430762122e-06
TMUB2	S+	2.7614100222272e-06
MBOAT7	S+	2.49679453513661e-07
CYBC1	S+	3.76601309298895e-05
RIPOR1	S+	0.000560750532295272
CCNJL	S+	4.94310480651608e-05
GALNT14	S+	0.00159153955151255
USB1	S+	6.68482088033353e-06
NLRX1	S+	1.48273598286374e-07
LRRK1	S+	1.01868832936031e-05
COLGALT1	S+	1.27331177028956e-05
NPEPL1	S+	0.000171365127480993
RIN3	S+	3.12129337750412e-05
DOK3	S+	3.09191963875004e-07
KIAA0319L	S+	2.06614707972312e-05
DGLUCY	S+	0.00184056649239861
UBTD1	S+	1.25990326004037e-05
SLC8B1	S+	0.0017503855459782
PGGHG	S+	0.00235100327212823
ATOSB	S+	2.72509412148613e-05
PLEKHO2	S+	1.78643720696622e-07
ABTB1	S+	5.30425618327348e-06
MPIG6B	S+	7.93398224892778e-05
CMIP	S+	0.000449947314907494
SH3BP5L	S+	1.94021641570446e-06
NDEL1	S+	0.0003318796208219
TRIM8	S+	2.65706472935022e-06
NUAK2	S+	1.40165325932801e-07
MED25	S+	4.19276380725241e-06
RAB1B	S+	3.54213451727035e-06
SH3BGRL3	S+	0.000128821778134031
C11orf68	S+	2.48311868405052e-05
FERMT3	S+	2.49900994153961e-05
TMEM120A	S+	4.57028360638295e-06
STK40	S+	1.80301548730472e-06
EMILIN2	S+	0.000908098884394692
TMEM222	S+	0.000696769843631126
FHIP1B	S+	0.00103763934055848
PRAM1	S+	1.21461189884367e-05
ZDHHC18	S+	0.000131109815325914
CAMKK1	S+	0.00202230105531006
VPS25	S+	0.00457987945190912
CYSTM1	S+	0.00156463412911082
ACRBP	S+	0.000185278610235893
NTNG2	S+	0.00134839621097479
DGAT2	S+	9.17106983731604e-07
PPP1R9B	S+	4.10509684642725e-06
PSRC1	S+	0.000151288458574256
NFKBID	S+	0.000432054307356468
SPRYD3	S+	0.000389884591207344
HSH2D	S+	2.97961836546147e-05
RELT	S+	0.00323282836457187
ITPRIP	S+	0.000230764438131648
FGD3	S+	4.00086488379069e-05
FCHSD1	S+	0.00141553608046141
ATG16L2	S+	4.50921190730728e-05
AQP10	S+	0.000636919965306652
KIAA2013	S+	0.000170511565847073
BMF	S+	0.00331645232853063
CFAP119	S+	7.43810191020023e-05
AP5B1	S+	2.68712629145427e-06
R3HDM4	S+	6.66628065408831e-05
NLRP12	S+	3.77362793700813e-07
TMEM88	S+	3.0064809380974e-05
STRADA	S+	0.000153935848544657
G6PC3	S+	0.000220842915391689
SHKBP1	S+	4.67817544819263e-06
ZBTB47	S+	0.00112033942663692
SFXN5	S+	0.000106846294683301
NLRP3	S+	0.00502599860045655
MBD6	S+	2.1876944900598e-06
RASGRP4	S+	3.30501665897738e-08
DNTTIP1	S+	0.000593503627649615
CMTM5	S+	0.000328604170966999
SLC26A8	S+	0.00141869788220476
LRG1	S+	2.05033823098789e-06
ARAP1	S+	1.20992574594332e-05
JAML	S+	0.00335209182511728
TDRD9	S+	0.00319716803587335
CANT1	S+	4.69952669996658e-05
CD300LB	S+	7.28893837721555e-05
SLC43A2	S+	6.84679340606498e-07
RAVER1	S+	5.71760969740878e-05
OSCAR	S+	1.26948054862998e-05
CCDC159	S+	0.000667180029809962
MOB3A	S+	3.79918074570807e-06
LRRC25	S+	6.78286528326791e-06
TPRG1L	S+	0.000404587412213695
RNF19B	S+	5.16809826131755e-05
ARL8A	S+	7.35923068814742e-08
TANGO2	S+	0.000575980173649528
PPM1M	S+	0.000176519359382872
SIRPA	S+	1.12343608592819e-05
IFITM3P2	S+	0.00562073635297179
GLT1D1	S+	5.23843805150028e-05
B3GNTL1	S+	0.000109797711136347
CD300LF	S+	0.000280766971919655
DHRS13	S+	9.27051797349605e-05
NFAM1	S+	2.52401122853469e-07
PLB1	S+	2.110902621728e-05
ASPRV1	S+	0.00677390711932899
GLIPR2	S+	4.19447046384565e-07
CIDECP1	S+	0.00443047572850367
ZNF746	S+	0.000136224488939324
DEDD2	S+	2.16823998279582e-06
PPP1R18	S+	3.61808804051853e-06
NLRP6	S+	0.000200534765171154
CYP2T1P	S+	6.46972901216662e-06
ADCY4	S+	0.00774408068180536
CRTC2	S+	3.27838644526558e-07
LINC00528	S+	0.00452082985359425
KLHDC8B	S+	0.000460438758286713
ARHGAP27	S+	0.000813200912264966
TPCN2	S+	0.00128629271347168
OAF	S+	9.91920441386431e-05
C6orf89	S+	0.00154407241446747
ADGRG3	S+	0.000257702750558368
KCTD13	S+	0.00033202895131681
C19orf38	S+	7.99631602351981e-08
NATD1	S+	0.000162854436531613
ARHGAP30	S+	9.82009465432137e-06
PDCD4-AS1	S+	0.00533947507636084
KCTD21	S+	0.00945155724312378
UBALD2	S+	4.87696481227412e-05
TMEM150B	S+	0.00355831149622135
SIRPB2	S+	0.00096001981184937
NT5DC4	S+	0.00200964010622284
ANKRD13D	S+	4.59011587508336e-05
RILPL1	S+	0.00641542445364886
ZNF710	S+	1.75445514757978e-05
PEAR1	S+	0.00119850507875365
SLC27A1	S+	0.000360978718373175
LINC01002	S+	1.66498690725617e-05
GSEC	S+	0.000187612461992388
LINC02908	S+	0.000231592127319686
IFITM10	S+	0.000797124129749445
CUEDC1	S+	0.000553122165750676
RNASEK	S+	0.000275395474995599
PLIN5	S+	0.00201205747217289
PGA4	S+	3.87777025417551e-05
PLIN4	S+	0.000342504273677355
BORCS8	S+	0.000319173916876491
LINC01001	S+	0.00505609366563547
PPM1F-AS1	S+	0.00354348966745735
LINC00173	S+	0.000275170758226099
PELATON	S+	5.92600703186285e-07
LINC01503	S+	0.000204811276424356
LINC00963	S+	7.40749988333668e-05
PTPRN2-AS1	S+	0.000817283821975079
SENCR	S+	3.65016147089185e-06
ARPC4-TTLL3	S+	0.00899201891710748
C5orf67	S+	0.0019657745290205
C3orf86P	S+	1.73789003466033e-05
LINC02887	S+	0.00380481216495575
