Database	ID	Final Term	Gene Ratio	Fold Enrichment	p value	adjust p value	-Log(Adj P)	Count	Gene IDs
React	R-HSA-5389840	React Mitochondrial translation elongation	0.031496062992126	2.72784867408815	0.000193950802329487	0.00971517200759522	2.0125495057911	16	MRPS31/MRPL42/MRPL13/MRPL15/MRPS23/MRPS33/MRPL50/PTCD3/MRPL47/MRPS35/MRPS25/MRPS9/MRPS6/MRPL32/MRPL1/GFM1
React	R-HSA-5419276	React Mitochondrial translation termination	0.031496062992126	2.72784867408815	0.000193950802329487	0.00971517200759522	2.0125495057911	16	MRPS31/MRPL42/MRPL13/MRPL15/MRPS23/MRPS33/MRPL50/PTCD3/MRPL47/MRPS35/MRPS25/MRPS9/MRPS6/MRPL32/MRPL1/MRRF
React	R-HSA-376176	React Signaling by ROBO receptors	0.0511811023622047	2.1073748978099	0.00021856693746611	0.0102224981635171	1.9904429587951	26	PRKACB/PRKCA/PSMA2/PSMA3/PSMA4/PSMA6/PSMC6/RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RBX1/PSMD14/RPL35/NCBP2/CLASP2/RPL22L1
React	R-HSA-975956	React Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	0.031496062992126	2.69685039370079	0.000222631538951371	0.0102224981635171	1.9904429587951	16	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RPL35/NCBP2/RPL22L1
React	R-HSA-111367	React SLBP independent Processing of Histone Pre-mRNAs	0.00984251968503937	7.41633858267717	0.000259024029806481	0.0114177792338697	1.9424183584601	5	SNRPE/SNRPF/SNRPG/NCBP2/LSM11
React	R-HSA-2467813	React Separation of Sister Chromatids	0.047244094488189	2.1444834455934	0.000290605645388513	0.0119284894167843	1.92341455041956	24	CDC27/CENPC/KIF2A/PPP1CC/PPP2R1B/PPP2R5C/PSMA2/PSMA3/PSMA4/PSMA6/PSMC6/RANBP2/XPO1/CDC23/CDC16/SMC3/BUB3/PSMD14/CLASP2/ANAPC4/NUP133/NUP107/MIS12/SKA2
React	R-HSA-69618	React Mitotic Spindle Checkpoint	0.0334645669291339	2.54702537182852	0.000292258815111774	0.0119284894167843	1.92341455041956	17	CDC27/CENPC/KIF2A/PPP1CC/PPP2R1B/PPP2R5C/RANBP2/XPO1/CDC23/CDC16/BUB3/CLASP2/ANAPC4/NUP133/NUP107/MIS12/SKA2
React	R-HSA-72165	React mRNA Splicing - Minor Pathway	0.0216535433070866	3.32978466977342	0.000326242888003493	0.0128399879492803	1.89143538386557	11	GTF2F2/SRSF1/SRSF2/SRSF6/SRSF7/SNRPD1/SNRPD2/SNRPE/SNRPF/SNRPG/NCBP2
React	R-HSA-156902	React Peptide chain elongation	0.0295275590551181	2.68060430699175	0.000372189110114586	0.0141431861843543	1.84945274142974	15	RPL7/RPL11/RPL17/RPL22/RPL26/RPL27/RPL32/RPL34/RPL37/RPL41/RPS10/RPS24/RPL23/RPL35/RPL22L1
React	R-HSA-77588	React SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs	0.00984251968503937	6.74212598425197	0.000448655977131616	0.016480629559968	1.78302620227495	5	SNRPE/SNRPF/SNRPG/NCBP2/LSM11
