	Neu	OxA	SNs	x	y	r	angle	z	pvalue	col	lab
TMEM150B	-0.192774226310493	-0.4087042882645	0.272361515465422	-0.124602839910954	-0.589820287678979	0.602838153629635	258.071336199355	2.44875603624967	0.00355831149622135	green3	S+
SMIM24	0.20740815300998	-0.270636206171861	0.019524017270829	0.332964247460496	-0.251286124669138	0.417144946677013	322.958363590699	0.804750367855123	0.156765189632916	grey60	ns
SLC25A42	0.256414116881359	0.147222495192579	-0.187856673987776	0.276731206278957	0.290187072789171	0.400984660233474	46.3596662208153	1.13457147473174	0.0733547979613125	grey60	ns
LINC00663	-0.0476681484701609	0.511775185515724	-0.202300370361241	-0.202405556047402	0.618407571610946	0.650688814829796	108.123335095234	2.3354962757245	0.00461852952480363	red	O+
ZNF493	-0.139271193778397	0.532562950171315	-0.167477525061752	-0.321813906333179	0.606252835229167	0.686372122491017	117.960461293722	0.836439644206574	0.145733822329028	grey60	ns
MIR23AHG	-0.169678270753505	-0.50189351942386	0.302278718508179	-0.0698708702956647	-0.69643358706733	0.699929767699119	264.270875343792	2.17476543978612	0.00668704984174117	green3	S+
ZNF875	0.246869961212064	0.155841681119021	-0.187067921074166	0.262483081189636	0.296968426700915	0.396342799061648	48.5273261032746	0.658625665027033	0.219469581232509	grey60	ns
THEM5	-0.122193649659188	-0.588127219727177	0.31742892851637	0.0131554959462154	-0.784234628932099	0.784344962557839	270.961043643522	2.49941895695355	0.0031665113062612	green3	S+
NBPF15	0.0284987681014944	0.53239226659802	-0.24793200599185	-0.113731362201591	0.675780643252441	0.685284102064911	99.5531440773276	1.59653015201648	0.025320358360484	grey60	ns
PM20D1-AS1	-0.204075997705264	0.149140809745367	0.0323345226105688	-0.294813663883232	0.101157211980474	0.311685543373314	161.061750240797	0.267835102043855	0.539715509047873	grey60	ns
EEIG2	0.114113546062785	0.232051602675118	-0.156877207287184	0.0765263483688182	0.336822229691004	0.345406277315114	77.199641659675	0.838064502183684	0.145189596342004	grey60	ns
CYB561D1	-0.289051683243811	0.305468600011901	0.0043386239517986	-0.44395529522566	0.260786209109048	0.51488421127509	149.569364794854	0.0624149163668612	0.86613399304663	grey60	ns
ANKRD34A	0.0418347695087107	-0.0321218907802434	-0.00594705742087928	0.060869243609272	-0.0226680706290337	0.0649531080365502	339.574368114324	0.0131235237095809	0.970233970313814	grey60	ns
RUSC1-AS1	-0.350527174538749	0.20043901356711	0.0800598778090663	-0.490776620226837	0.104251389652082	0.501727060467808	168.007417132341	0.766333687285071	0.171264090556672	grey60	ns
PTGES3P1	-0.393721220113594	0.376396697944659	0.023371638558892	-0.593605388365369	0.305728669600584	0.667710548450557	152.749862300674	2.01446341906019	0.00967245194984562	grey60	ns
SNHG28	-0.130886700759674	0.0175274867263681	0.0551135222050391	-0.167207205225378	-0.0325504615520723	0.170346065485924	191.016070448282	0.00356577181068114	0.991823121022639	grey60	ns
ZNF326	-0.0644599678598963	0.306631943859208	-0.103977270725294	-0.165787304426853	0.355598010858155	0.3923459897022	114.995927375026	0.448507765380992	0.356034623919569	grey60	ns
BTBD8	-0.359160887549432	0.51341347650028	-0.0535047036363906	-0.589115273981377	0.490965545865599	0.766879373347112	140.192353990416	1.2064540688752	0.0621649990179911	grey60	ns
SLC25A34	-0.333996672940591	-0.0177127285876277	0.168112003590035	-0.409196310441794	-0.160928938717296	0.439704154853979	201.46874784124	1.30303245790363	0.0497699886950136	grey60	ns
C20orf204	-0.122403515003452	0.0159045165084178	0.0517556999379453	-0.156233623226634	-0.0310480356057066	0.159288811727299	191.239852374626	0.0178434053520993	0.95974662737651	grey60	ns
LINC00494	-0.0793243001533387	0.307499547601713	-0.0972241368711529	-0.184462005518619	0.350500992266739	0.39607723623041	117.756978751885	0.113831681570992	0.76942858802522	grey60	ns
LINC01270	-0.36894580608312	-0.158829899898348	0.24697914287517	-0.413020427571531	-0.351440940127313	0.542306747135733	220.394609645568	1.95139412638395	0.0111842244374276	grey60	ns
LINC02910	-0.240112204532391	0.122768566769443	0.0612356887969954	-0.33211433231561	0.0532890354921079	0.336362380526007	170.884368207162	0.0518277760140444	0.887507892731985	grey60	ns
MIR646HG	0.0678739227151363	0.133606433413707	-0.0913663136052953	0.0467538628109306	0.194832114077626	0.200363360831516	76.5058918787277	0.817289422256354	0.15230374338686	grey60	ns
SIRPB2	-0.300125655620376	-0.532026410174126	0.378151935174394	-0.22318841812051	-0.788237569046305	0.819226180757893	254.190600782499	3.01771980436869	0.00096001981184937	green3	S+
FTLP3	-0.182392873115489	-0.0274143387763641	0.0996108881570359	-0.218491147805825	-0.110007073445808	0.244622030646502	206.724581141018	0.46391221192279	0.343627401557271	grey60	ns
FRG1BP	-0.243808617076159	0.110193649251922	0.0685429305257087	-0.333176906964974	0.0360705805027808	0.335123765365207	173.821078583854	0.0326913371792461	0.927488776243469	grey60	ns
RPL13AP7	-0.0446371854029028	0.338205974632683	-0.127384779844984	-0.150047782796752	0.403213421144823	0.430227149437985	110.411740320757	0.364791978228632	0.431725818723352	grey60	ns
AATBC	-0.319484040257815	-0.225387601516942	0.252522883991206	-0.333051681494948	-0.413882621185011	0.531245938022671	231.176338221938	1.50536631481908	0.0312344372140526	grey60	ns
MIF-AS1	0.185893283636483	0.201453648395579	-0.177868381439564	0.174100650158475	0.328502514052313	0.371786145686326	62.0771840250497	0.388124674502879	0.409143188640116	grey60	ns
TTC28-AS1	0.283323850905431	0.1545593612602	-0.204001567389102	0.308044953969881	0.310522873014835	0.437397014543645	45.2295197674922	1.13276976189129	0.0736597495888301	grey60	ns
SEC14L4	0.0933735444399575	-0.422061717807328	0.140887854504045	0.233960476091599	-0.487528630671234	0.540760270450018	295.635917791283	1.4368228635777	0.0365743937791143	grey60	ns
RPL23AP82	-0.358075468801243	0.231586013540163	0.0699783790669253	-0.508857665104787	0.139956316899333	0.527753629997864	164.621607117106	0.375760336250811	0.42095886884016	grey60	ns
