Eta	MaxDepth	Gamma	ColsampleByTree	MinChildWeight	subsample	nrounds	Accuracy	Kappa	AccuracySD	KappaSD
0.1	6	1.5	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	6	0	0.2	1	1	10	0.760453432949287	0.19919984629509	0.0579141906142106	0.153448617104568
0.3	6	0	0.2	10	1	10	0.754538709481395	0.114694995486378	0.0605192142340187	0.149804957568974
0.3	6	0	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	6	0	0.6	1	1	10	0.751096312965688	0.21696342753549	0.0584227666869209	0.149618493668322
0.3	6	0	0.6	10	1	10	0.753849997554422	0.133883242762152	0.0641910977827827	0.157321879452098
0.3	6	0	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	6	0	1	1	1	10	0.73863213706684	0.201913769268629	0.05748077017937	0.156879892549786
0.3	6	0	1	10	1	10	0.757765977286717	0.157458708285311	0.0704793197579558	0.185917697030415
0.3	6	0	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	6	1	0.2	1	1	10	0.754597243765892	0.180516271539001	0.055553758047258	0.136091090160119
0.3	6	1	0.2	10	1	10	0.753019725934629	0.113630218752478	0.0614246514388346	0.141107578692147
0.3	6	1	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	6	1	0.6	1	1	10	0.749878217765772	0.205964196991704	0.0575272355194616	0.153202103558723
0.3	6	1	0.6	10	1	10	0.752079930850961	0.129616618242732	0.0650484590544497	0.16695686977901
0.3	6	1	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	6	1	1	1	1	10	0.750602108138932	0.226256889276002	0.0597968280292717	0.148519967727036
0.3	6	1	1	10	1	10	0.757765977286717	0.157458708285311	0.0704793197579558	0.185917697030415
0.3	6	1	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	6	1.5	0.2	1	1	10	0.745995425421606	0.146307289701708	0.0574376644317236	0.142198589985401
0.3	6	1.5	0.2	10	1	10	0.750856645770772	0.103184079904156	0.0658388531087706	0.161501007493301
0.3	6	1.5	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	6	1.5	0.6	1	1	10	0.749369861073663	0.199762934851905	0.0522531754049463	0.135361585676404
0.3	6	1.5	0.6	10	1	10	0.755036627537454	0.148494628830272	0.0697996576698894	0.188262178565321
0.3	6	1.5	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.3	6	1.5	1	1	1	10	0.744167481507897	0.215503426379621	0.0549925897888453	0.140838851484665
0.3	6	1.5	1	10	1	10	0.757765977286717	0.157458708285311	0.0704793197579558	0.185917697030415
0.3	6	1.5	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	6	0	0.2	1	1	10	0.758227642753385	0.202036814841873	0.0609031868248812	0.163939179791388
0.5	6	0	0.2	10	1	10	0.743045282674746	0.0872648390918751	0.0680867456378497	0.154446554065326
0.5	6	0	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	6	0	0.6	1	1	10	0.753265090536932	0.233870822113134	0.054448840940993	0.154539208706062
0.5	6	0	0.6	10	1	10	0.745081084051997	0.110748031074048	0.0663042798047776	0.1723756436663
0.5	6	0	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	6	0	1	1	1	10	0.749214420106858	0.230147861352894	0.0540589510445908	0.150230152199758
0.5	6	0	1	10	1	10	0.745426729922564	0.118291689458889	0.0628522928844861	0.170440008391333
0.5	6	0	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	6	1	0.2	1	1	10	0.745883706613531	0.183921306425565	0.0610852743798012	0.159909641040505
0.5	6	1	0.2	10	1	10	0.747070864453073	0.111503041188645	0.0598501905961894	0.141310618702658
0.5	6	1	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	6	1	0.6	1	1	10	0.751832911779264	0.213787734266698	0.0576928894570625	0.15800251911501
0.5	6	1	0.6	10	1	10	0.750323740703221	0.129931804865813	0.063386568028415	0.179748767578542
0.5	6	1	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	6	1	1	1	1	10	0.746751358032249	0.224625968375212	0.0561211964434428	0.143256754872566
0.5	6	1	1	10	1	10	0.745426729922564	0.118291689458889	0.0628522928844861	0.170440008391333
0.5	6	1	1	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	6	1.5	0.2	1	1	10	0.753382895720402	0.209489020648521	0.058698107509819	0.161846824400339
0.5	6	1.5	0.2	10	1	10	0.742420783217837	0.0817807881790339	0.0634656187097386	0.14603533889128
0.5	6	1.5	0.2	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	6	1.5	0.6	1	1	10	0.755289978464859	0.228887245349397	0.0554968204066485	0.142581601064425
0.5	6	1.5	0.6	10	1	10	0.746595370218727	0.116557688773887	0.0562609931629806	0.150277443415312
0.5	6	1.5	0.6	20	1	10	0.746452586030611	0	0.0602680521654603	0
0.5	6	1.5	1	1	1	10	0.74606758208225	0.209498755055309	0.0544609879615746	0.147216075801208
